"ID","CREATION DATE","BARECODE ARTICLE SUPPLIER","BARECODE ARTICLE SUPPLIER_PIC","BARECODE WAREHOUSE","NUMBER ARTICLE SUPPLIER","NUMBER ARTICLE SUPPLIER2","NUMBER WAREHOUSE","NAME_ARTICLE","CPE_TYPE","Catégorie","PICX2","SKILL_PILA","SKILL_TECHFULL","SKILL_FISFULL","SKILL_FISONLY","SKILL_JOINT_CUIVRE","SKILL_JOINT_UNDER_FTTH","SKILL_JOINT_FACADE_FTTH","SKILL_VOO_OBE","SUPPLIER","SUPPLIER2","PRICE PURCHASE EX VAT","PRICE PURCHASE EX VAT SUPPLIER2","PRICE PURCHASE VAT","PRICE PURCHASE VAT SUPPLIER2","SALE PRICE EX VAT","SALE PRICE VAT","TVA","Marge","START QUANTITY","QUANTITY STOCK PIECE","COUNT QUANTITY","DIFF QUANTITY","UNIT","PICX","BARCODEPICX1","BARECODEPICX2","BARCODEPICKXXX2","Rack","Etage","Caisse","Pièces jointes","SerialNumberMandatory","MacAdressMandatory"
"522","19-11-25","5707957139962","5707957139962","5707957139962","CONX29560465_19112025","CONX29560465_19112025","CONX29560465_19112025","Connecteur RG6 F-6-TD","Connecteurs",,"Reserved_ImageAttachment_[5]_[PICX2][32]_[34d5367a43924fc08630ef34f2243f1c][1]_[1].png","False","False","False","False","False","False","False","False","ORANGE BELGIUM","VOO",,,"0","0","0","0","21","21","0","0",,,"Pièce",,,,"https://barcode.tec-it.com/barcode.ashx?data=5707957139962&code=Code39",,,,"1","False","False"
"521","19-11-25","9036477","9036477","9036477","9036477","9036477","9036477","National Multi plug 220v 3plug multiprises ","Matériels",,"Reserved_ImageAttachment_[5]_[PICX2][32]_[0b2ac156e1874a47ad8de8f3c9a2e5c8][1]_[1].jpeg","False","False","False","False","False","False","False","False","ORANGE BELGIUM","VOO",,,"0","0","0","0","21","21","0","0",,,"Pièce",,,,"https://barcode.tec-it.com/barcode.ashx?data=9036477&code=Code39",,,,"1","False","False"
"520","31-10-25","5413729229594","5413729229594","5413729229594","16030024","16030024","16030024","LTE ModemV2 Sagem 4360 16030024","Matériels",,"Reserved_ImageAttachment_[5]_[PICX2][32]_[f226150dd1f14a6fb346f59fed775e15][2]_[38].png","False","False","False","False","False","False","False","False","Proximus","Proximus",,,"0","0","0","0","21","21","0","0",,,"Pièce",,,,"https://barcode.tec-it.com/barcode.ashx?data=5413729229594&code=Code39",,,,"1","Vrai","False"
"519","24-10-25","6438238011255","6438238011255","6438238011255","9220044","9220044","9220044","NIU VOO 4 Sorties 3.1 - (3VHA-2D2T-R204/ME-NIU-VOO-V4.0-204)","Matériels",,"Reserved_ImageAttachment_[5]_[PICX2][32]_[5b6ec9922b664bc0a3274d6e144f9dc4][1]_[1].jpeg","False","False","False","False","False","False","False","False","VOO","VOO",,,"0","0","0","0","21","21","0","58",,,"Pièce",,,,"https://barcode.tec-it.com/barcode.ashx?data=6438238011255&code=Code39",,,,"1","False","False"
"518","23-10-25","1100621222275140","1100621222275140","1100621222275140","1100621222275140","1100621222275140","1100621222275140","NIU VOO ME-WO-NIU-VOO V2.0 2TV 2DATA","Matériels",,"Reserved_ImageAttachment_[5]_[PICX2][32]_[f89906beacec49f0a11f8b8234abb2b1][1]_[1].jpeg","False","False","False","False","False","False","False","False","VOO","ORANGE BELGIUM",,,"0","0","0","0","21","21","0","20","20","20","Pièce",,,,"https://barcode.tec-it.com/barcode.ashx?data=1100621222275140&code=Code39",,,,"1","False","False"
"517","23-10-25","MAT36658622_23102025","MAT36658622_23102025","MAT36658622_23102025","MAT36658622_23102025","MAT36658622_23102025","MAT36658622_23102025","Kit STB 3 ZC4455 alim_HDMI_TELECOMMANDE_PatchRG45 ","Matériels",,"Reserved_ImageAttachment_[5]_[PICX2][32]_[3d23db6ae4ce48c6bdc951a24e0b4487][1]_[1].jpeg","False","False","False","False","False","False","False","False","ORANGE BELGIUM","VOO",,,"0","0","0","0","21","21","0","3","3","3","Pièce",,,,"https://barcode.tec-it.com/barcode.ashx?data=MAT36658622_23102025&code=Code39",,,,"1","False","False"
"516","23-10-25","124409","124409","124409","124409","124409","124409","Connecteur RG11 124409=Connect F RG11 PPC","Connecteurs",,"Reserved_ImageAttachment_[5]_[PICX2][32]_[5d994366506c4f1580137b998dfd519a][1]_[1].jpeg","False","False","False","False","False","False","False","False","ORANGE BELGIUM","VOO",,,"0","0","0","0","21","21","0","-5",,,"Pièce",,,,"https://barcode.tec-it.com/barcode.ashx?data=124409&code=Code39",,,,"1","False","False"
"514","21-10-25","Consommables74044098_21102025","Consommables74044098_21102025","Consommables74044098_21102025","Consommables74044098_21102025","Consommables74044098_21102025","Consommables74044098_21102025","Taper identification VOO/Orange","Consommables",,"Reserved_ImageAttachment_[5]_[PICX2][32]_[987d8fd137b24bafbad24bddf872d632][1]_[1].jpeg","False","False","False","False","False","False","False","False","ORANGE BELGIUM","VOO",,,"0","0","0","0","21","21","0","6","6","6","Pièce",,,,"https://barcode.tec-it.com/barcode.ashx?data=Consommables74044098_21102025&code=Code39",,,,"1","False","False"
"513","21-10-25","8716065259728","8716065259728","8716065259728","8716065259728","8716065259728","8716065259728","VOO patch corde RJ45 2mètres","Consommables",,"Reserved_ImageAttachment_[5]_[PICX2][32]_[e964957697cb4c8b880a93471b122283][1]_[8].png","False","False","False","False","False","False","False","False","ORANGE BELGIUM","VOO",,,"0","0","0","0","21","21","0","3","3","3","Pièce",,,,"https://barcode.tec-it.com/barcode.ashx?data=8716065259728&code=Code39",,,,"1","False","False"
"512","21-10-25","Consommables31693584_21102025","Consommables31693584_21102025","Consommables31693584_21102025","Consommables31693584_21102025","Consommables31693584_21102025","Consommables31693584_21102025","Etiquettes retour VOO/Orange","Consommables",,"Reserved_ImageAttachment_[5]_[PICX2][32]_[b8e0cb1e39ee4f73849028d03c9aed9f][1]_[8].jpg","False","False","False","False","False","False","False","False","VOO","ORANGE BELGIUM",,,"0","0","0","0","21","21","0","3","3","3","Pièce",,,,"https://barcode.tec-it.com/barcode.ashx?data=Consommables31693584_21102025&code=Code39",,,,"1","False","False"
