"ID","Date","Date OUT","Date Maintenance","Date Return","LOCALISATION","PROJET","BARECODE_WAREHOUSE","NUMBER_WAREHOUSE","NAME_ARTICLE","SERIAL_NUMBER_1","MAC_ADRESSE_1","PERID","TECH_NAME","EMPLOYEE","IDART","N° Doc","UNIQUE_KEY"
"1077","26-11-25",,,,"Warehouse Seneffe","ORANGE","300390","300390","Modem Technicolor CGA437A -VOO",,"C44FD515E734",,,"Raphaël Gathelier","373","INSTOCK_2025-11-26_835967_0142","|C44FD515E734"
"1076","26-11-25",,,,"Warehouse Seneffe","ORANGE","300390","300390","Modem Technicolor CGA437A -VOO",,"C44FD515E89C",,,"Raphaël Gathelier","373","INSTOCK_2025-11-26_835967_0142","|C44FD515E89C"
"1075","26-11-25",,,,"Warehouse Seneffe","ORANGE","300390","300390","Modem Technicolor CGA437A -VOO",,"C4509C7DE3BE",,,"Raphaël Gathelier","373","INSTOCK_2025-11-26_835967_0142","|C4509C7DE3BE"
"1074","26-11-25",,,,"Warehouse Seneffe","ORANGE","300390","300390","Modem Technicolor CGA437A -VOO",,"C4509C7DE5CE",,,"Raphaël Gathelier","373","INSTOCK_2025-11-26_835967_0142","|C4509C7DE5CE"
"1073","26-11-25",,,,"Warehouse Seneffe","ORANGE","300390","300390","Modem Technicolor CGA437A -VOO",,"C4509C7DE3A6",,,"Raphaël Gathelier","373","INSTOCK_2025-11-26_835967_0142","|C4509C7DE3A6"
"1072","26-11-25",,,,"Warehouse Seneffe","ORANGE","300390","300390","Modem Technicolor CGA437A -VOO",,"C4509C7E13BC",,,"Raphaël Gathelier","373","INSTOCK_2025-11-26_835967_0142","|C4509C7E13BC"
"1071","20-11-25",,,,"Warehouse Seneffe","ORANGE","889728031622","9660030","Cisco ATA191 Adaptateur téléphone analogique 2 port REFURBISHED","SFVH291632MP","9056710E33E0",,,"Raphaël Gathelier","468","INSTOCK_2025-11-20_835967_0141","SFVH291632MP|9056710E33E0"
"1070","20-11-25",,,,"Warehouse Seneffe","ORANGE","889728031622","9660030","Cisco ATA191 Adaptateur téléphone analogique 2 port REFURBISHED","SFVH291633MX","9056710E213A",,,"Raphaël Gathelier","468","INSTOCK_2025-11-20_835967_0141","SFVH291633MX|9056710E213A"
"1069","20-11-25",,,,"Warehouse Seneffe","ORANGE","889728031622","9660030","Cisco ATA191 Adaptateur téléphone analogique 2 port REFURBISHED","SFVH29163379","9056710E096D",,,"Raphaël Gathelier","468","INSTOCK_2025-11-20_835967_0141","SFVH29163379|9056710E096D"
"1068","19-11-25",,,,"Warehouse Houthalen","STOCK","3760329330048","9220036","Modem DOCSIS 3.1 CGA437A-ORB",,"C44FD515F0F4",,,"Raphaël Gathelier","463","OUTSTOCK_2025-11-19_835967_0136","|C44FD515F0F4"
"1067","19-11-25",,,,"Warehouse Houthalen","STOCK","300390","300390","Modem Technicolor CGA437A -VOO",,"3C2D9E51D1C4",,,"Raphaël Gathelier","373","OUTSTOCK_2025-11-19_835967_0131","|3C2D9E51D1C4"
"1066","19-11-25",,,,"Warehouse Houthalen","STOCK","300390","300390","Modem Technicolor CGA437A -VOO",,"3C2D9E51D1F4",,,"Raphaël Gathelier","373","OUTSTOCK_2025-11-19_835967_0131","|3C2D9E51D1F4"
"1065","19-11-25",,,,"Warehouse Houthalen","STOCK","300390","300390","Modem Technicolor CGA437A -VOO",,"3C2D9E51D434",,,"Raphaël Gathelier","373","OUTSTOCK_2025-11-19_835967_0131","|3C2D9E51D434"
"1064","19-11-25",,,,"Warehouse Houthalen","STOCK","300390","300390","Modem Technicolor CGA437A -VOO",," 3C2D9E51D44C",,,"Raphaël Gathelier","373","OUTSTOCK_2025-11-19_835967_0131","| 3C2D9E51D44C"
"1063","19-11-25",,,,"Warehouse Houthalen","STOCK","300390","300390","Modem Technicolor CGA437A -VOO",,"3C2D9E51D404",,,"Raphaël Gathelier","373","OUTSTOCK_2025-11-19_835967_0131","|3C2D9E51D404"
"1062","19-11-25",,,,"Warehouse Houthalen","STOCK","300390","300390","Modem Technicolor CGA437A -VOO",,"3C2D9E51D494",,,"Raphaël Gathelier","373","OUTSTOCK_2025-11-19_835967_0131","|3C2D9E51D494"
"1061","19-11-25",,,,"Warehouse Houthalen","STOCK","300390","300390","Modem Technicolor CGA437A -VOO",,"3C2D9E51D554",,,"Raphaël Gathelier","373","OUTSTOCK_2025-11-19_835967_0131","|3C2D9E51D554"
